Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
65322,"Beacon Solar, LLC",66181,"Beacon Solar, LLC",MA,Hampshire,BEABA,OP,Batteries,BA,IPP Non-CHP,2,5,5,5,11,2022,7.8,2,2,LIB,,,,2.3,CS,,Y,,,Y,,Y,,,,PR,,,Y,,Y,66181,BEAPV, ,, ,,N
65323,"Town of Amherst Solar, LLC",66182,Town of Amherst Solar,MA,Hampshire,AMHBA,OP,Batteries,BA,IPP Non-CHP,2,2.5,2.5,2.5,8,2022,2,2,2,LIB,,,,1.3,CS,,Y,,,Y,,Y,,,,PR,,,Y,,Y,66182,AMHPV, ,, ,,N
65339,"North Central Valley Energy Storage, LLC",66208,North Central Valley,CA,San Joaquin,NCV,OP,Batteries,BA,IPP Non-CHP,2,132,132,132,8,2023,528,132,132,LIB,,,,43.4,CS,PR,Y,Y,Y,,,Y,,,,,Y,,,,N, ,, ,, ,,N
61194,Generate Capital,66218,Dubois Solar (Hybrid),NY,Ulster,BAT,OP,Batteries,BA,IPP Non-CHP,2,2,2,2,12,2020,4.4,2,2,LIB,,,,3.4,CS,,,,,,,PR,,,,Y,,Y,,,Y,66218,10892, ,, ,,Y
61194,Generate Capital,66222,Landau II Solar (Hybrid),NY,Ulster,BAT,OP,Batteries,BA,IPP Non-CHP,2,4,4,4,12,2021,8.8,4,4,LIB,,,,1.3,CS,,,,,,,PR,,,,Y,,Y,,,Y,66222,61194, ,, ,,N
61194,Generate Capital,66228,Salt Point Solar (Hybrid),NY,Dutchess,BAT,OP,Batteries,BA,IPP Non-CHP,2,2,2,2,1,2021,4.4,2,2,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,,Y,,,N, ,, ,, ,,N
61194,Generate Capital,66232,Svenski Solar (Hybrid),NY,Orange,BAT,OP,Batteries,BA,IPP Non-CHP,2,2,2,2,4,2022,4.4,2,2,LIB,,,,0.6,CS,,,,,,,PR,,,,Y,,,,,N, ,, ,, ,,N
65395,Ameresco HCE Solar LLC,66271,Ameresco HCE Solar LLC,CO,Garfield,HCEBA,OP,Batteries,BA,IPP Non-CHP,2,5.8,5.8,5.8,8,2023,15.5,5,5,LIB,,,,0.1,CS,,,,,,,,Y,,,PR,Y,,,,Y,66271,HCEPV, ,, ,,N
65453,"Yellow Pine Solar, LLC",66357,Yellow Pine Solar,NV,Clark,YPES,OP,Batteries,BA,IPP Non-CHP,2,65,48.8,48.8,7,2023,260,65,65,LIB,,,,21.4,CS,PR,,,,,,Y,,,,Y,Y,,,,Y,66357,YPS1, ,, ,,N
65479,"Goleta Energy Storage, LLC",66394,"Goleta Energy Storage, LLC",CA,Santa Barbara,GOLET,OP,Batteries,BA,IPP Non-CHP,2,60,60,60,12,2023,160,60,60,LIB,,,,19.7,CS,PR,Y,,,,,,,,,,,,,Y,N, ,, ,, ,,N
