Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet)
57170,"EDF Renewable Asset Holdings, Inc.",63655,Coyote Wind LLC,TX,Scurry,COY,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,242.5,242.5,242.5,1,2021,59,Siemens Gamesa,SG 4.5-145,15.6,3,352.7
63437,"Helena Wind, LLC",63738,Helena Wind,TX,Bee,HEL,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,268.2,268.2,268.2,6,2022,180,Vestas,V150-4.2,16.0,3,344.4
63431,"Las Majadas Wind Farm, LLC",63739,Las Majadas Wind Farm,TX,Willacy,LMAJ,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,272.6,272.6,272.6,3,2021,125,Vestas,V120-2.2,15.0,3,302.0
63773,Orsted Onshore North America,64149,"Western Trail Wind, LLC",TX,Wilbarger,WTW,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,366.6,366.6,366.6,4,2022,130,GE,2.82-127,15.5,4,90.0
56201,Engie North America,64165,Priddy Wind Project,TX,Mills,WTG1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,302.4,302.4,302.4,1,2022,63,Nordex,N149/4.0-4.5,18.6,2,489.0
64209,"El Algodon Alto Wind Farm, LLC",64591,"El Algodon Alto Wind Farm, LLC",TX,San Patricio,EEA,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,200.2,200.2,200.2,5,2022,91,Vestas,V120-2.2,16.3,2,301.8
64251,TG East Wind Project LLC,64639,TG East,TX,Knox,ESCA,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,336.0,336.0,336.0,4,2022,63,Vestas,V162-5.6,18.0,2,119.0
64976,Great Prairie Wind LLC,64665,Great Prairie Wind,TX,Hansford,GR01,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1027.0,1027.0,1027.0,11,2022,365,GE,2.82-127,19.8,2,292.0
64288,"White Mesa Wind, LLC",64710,White Mesa Wind,TX,Crockett,WM001,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,500.6,500.6,500.6,10,2021,180,GE,2.82-127,12.4,2,291.9
64468,Hubbard Wind LLC,65048,Hubbard Wind,TX,Limestone,HW001,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,300.0,300.0,300.0,11,2021,108,GE,2.82-127,13.4,2,291.9
64533,"Lacy Creek Wind, LLC",65162,Lacy Creek Wind Energy Center,TX,Sterling,LCW1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,301.3,301.3,301.3,12,2022,108,GE,2.82-127,12.0,2,374.0
64611,"Limestone Wind Project, LLC",65306,Limestone Wind Project,TX,Navarro,LIMEW,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,299.2,299.2,299.2,12,2022,88,GE,3.8-137,16.8,3,384.0
64655,"Appaloosa Run Wind, LLC",65335,Appaloosa Run Wind,TX,Upton,WAPPA,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,171.8,171.8,171.8,12,2022,62,GE,2.82-127,12.0,3,291.0
64847,"Inertia Wind Project, LLC",65546,Inertia Wind Project,TX,Haskell,WINER,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,301.0,301.0,301.0,1,2023,108,GE,2.82-127,12.0,2,291.0
65013,"Young Wind, LLC",65763,Young Wind,TX,Young,WYOUN,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,500.0,500.0,500.0,12,2022,177,GE,2.82-127,12.0,2,374.0
65044,"Castle Gap Wind Power, LLC",65790,Castle Gap Wind,TX,Mills,CGWIN,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,196.8,196.8,196.8,10,2023,41,Nordex,N149/4.0-4.5,17.5,2,324.0
65408,"King Creek Wind Farm 1, LLC",66321,"King Creek Wind Farm 1, LLC",TX,Haskell,KC1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,184.0,184.0,184.0,4,2022,47,Siemens Gamesa,SG 5.0-145,18.3,2,102.5
65409,"King Creek Wind Farm 2, LLC",66323,"King Creek Wind Farm 2, LLC",TX,Throckmorton,KC2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,209.0,209.0,209.0,4,2022,49,Siemens Gamesa,SG 5.0-145,18.8,2,102.5
65578,Shamrock Wind LLC,66540,Shamrock Wind,TX,Crockett,WSHAM,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,223.9,223.9,223.9,12,2023,81,GE,2.82-127,19.0,1,114.0
