Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
64315,"Walmart Stores Texas, LLC",64774,WAL414,TX,Wichita,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,4,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64774,WAL414,TX,Wichita,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,4,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64775,WAL447,TX,Val Verde,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,10,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64775,WAL447,TX,Val Verde,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,10,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64775,WAL447,TX,Val Verde,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,10,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64776,WAL452,TX,Hidalgo,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,9,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64776,WAL452,TX,Hidalgo,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,9,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64776,WAL452,TX,Hidalgo,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,9,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64777,WAL456,TX,Cameron,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,9,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64777,WAL456,TX,Cameron,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,9,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64777,WAL456,TX,Cameron,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,9,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64778,WAL461,TX,Maverick,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,10,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64778,WAL461,TX,Maverick,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,10,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64778,WAL461,TX,Maverick,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,10,2021, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64791,WAL462,TX,Brazoria,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,1.3,0.8,1.3,1.3,0.1,N, , ,OP,X,11,2019, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64792,WAL504,TX,Galveston,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,6,2022, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64792,WAL504,TX,Galveston,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,6,2022, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64792,WAL504,TX,Galveston,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,6,2022, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64793,WAL522,TX,Harris,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,6,2020, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64793,WAL522,TX,Harris,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,6,2020, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
64315,"Walmart Stores Texas, LLC",64793,WAL522,TX,Harris,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.4,0.8,0.4,0.4,0.1,N, , ,OP,X,6,2020, , ,N,Commercial Non-CHP,4,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
