Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Bifacial?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
64083,"DG Central 1, LLC",64827,FELPS 6- Floresville West,TX,Wilson,FLPS6,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,7,2021,,Y,,,,,,,,,,180,60,1.4,Y,,,,,,N, ,N, 
64083,"DG Central 1, LLC",64828,FELPS 7- Floresville West,TX,Wilson,FLPS7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,7,2021,,Y,,,,,,,,,,180,60,1.4,Y,,,,,,N, ,N, 
64370,"IP Radian, LLC",64859,"IP Radian, LLC",TX,Brown,IPRAD,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,320.0,320.0,320.0,5,2023,,Y,,,,,,,,,,0, ,415.5,,Y,,,,,N, ,N, 
64409,"Hecate Energy Ramsey, LLC",64927,Aktina Solar,TX,Wharton,AKS01,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,500.0,500.0,500.0,12,2023,,Y,,,,,,,,,,180, ,630,Y,,,,,N,N, ,N, 
64455,"Bernard Creek Solar, LLC",65034,Bernard Creek Solar,TX,Wharton,CSBS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,230.0,230.0,230.0,12,2023,,Y,,,,,,,,,,0, ,313.5,Y,,,,,,N, ,N, 
57313,Tesla Inc.,65070,Austin TX GigaFactory,TX,Travis,C02,OP,Solar Photovoltaic,PV,Industrial Non-CHP,6,1.9,1.9,1.9,7,2023,,N,,Y,,,,,,,,0,0,2,Y,,,,,,N, ,N, 
64568,"BT Noble Solar, LLC",65271,Noble Solar,TX,Denton,NBSLR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,275.0,275.0,275.0,9,2022,,Y,,,,,,,,,,180,30,353.5,Y,,,,,,N, ,N, 
64608,Sun Valley Solar LLC,65303,Sun Valley Solar Project,TX,Hill,SUNS,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,250.0,250.0,250.0,12,2022,,Y,,,,,,,,,,180,52,347.8,Y,,,,,,N, ,N, 
50123,"Leeward Asset Management, LLC",65308,Horizon Solar,TX,Frio,HRZNS,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,200.0,200.0,200.0,12,2023,,Y,,,,,,,,,,50, ,266,Y,,,,,,N, ,N, 
61060,Cypress Creek Renewables,65333,Shakes Solar,TX,Dimmit,785,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,200.0,200.0,200.0,6,2022,,Y,,,,,,,,,,180, ,270.1,,Y,,,,,N, ,N, 
64802,"Longbow Acquisition HoldCo, LLC",65521,"Longbow Solar, LLC",TX,Brazoria,LBSOL,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,78.1,78.1,78.1,7,2022,,Y,,,,,,,,,,180, ,112,Y,,,,,,N, ,N, 
64808,Verizon Communications,65571,Verizon Hidden Ridge Solar Project,TX,Dallas,VH600,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.6,9,2022,,,,Y,,,,,,,,175,10,1.1,Y,,,,,,Y,1.1,N, 
64808,Verizon Communications,65571,Verizon Hidden Ridge Solar Project,TX,Dallas,VH700,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.1,1.0,0.7,9,2022,,,,Y,,,,,,,,39,10,1.3,Y,,,,,,Y,1.3,N, 
64808,Verizon Communications,65571,Verizon Hidden Ridge Solar Project,TX,Dallas,VH750,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.8,0.8,0.6,7,2022,,,,Y,,,,,,,,217,1,1,Y,,,,,,Y,1,N, 
65411,Duke Energy Renewables Services,65631,"Pisgah Ridge Solar, LLC",TX,Navarro,PSGAH,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,250.0,250.0,250.0,12,2022,,Y,,,,,,,,,,25, ,321,Y,,,,,,N, ,N, 
64931,"Texas Solar Nova 1, LLC",65654,Texas Solar Nova 1,TX,Kent,TSN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,252.0,252.0,252.0,12,2023,,Y,,,,Y,,,,,,25,2,1.8,Y,,,,,,N, ,N, 
64917,"Rayos del Sol Solar Project, LLC",65661,Nebula Solar,TX,Cameron,NEB1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,135.0,135.0,135.0,6,2022,,Y,,,,,,,,,,0,60,181.5,Y,,,,,,Y,181.5,N, 
64917,"Rayos del Sol Solar Project, LLC",65662,Vancourt Solar Interconnections,TX,Cameron,VAN1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,45.0,45.0,45.0,9,2022,,Y,,,,,,,,,,0,60,59.5,Y,,,,,,Y,59.5,N, 
65055,"Concho Valley Solar, LLC",65793,"Concho Valley Solar, LLC",TX,Tom Green,CVS,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,172.8,159.8,159.8,5,2023,,N,,,Y,,,,,N,Y, , ,214.6,Y,,,,,,N, ,N, 
65117,Hecate Energy Upshur Rural LLC,65946,Hecate Energy Upshur Rural LLC,TX,Upshur,SOLAR,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,3.0,3.0,7,2022,,Y,,,,,,,,,, ,33,3.5,Y,,,,,,N, ,N, 
65221,Brazoria County Solar Project,66046,Brazoria County Solar Project (Danciger),TX,Brazoria,BRZ01,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,200.0,200.0,200.0,7,2022,,Y,,,,,,,,,,0, ,262.5,,Y,,,,,N, ,N, 
65370,"Cutlass Solar 1, LLC",66310,Cutlass Solar 1 LLC,TX,Fort Bend,CT1PV,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,110.9,110.9,110.9,12,2022,Y,,,,,,,,,,,180,52,140,Y,,,,,,N, ,N, 
65412,BPL Files Solar LLC,66324,BPL Files Solar,TX,Hill,FILES,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,157.5,145.0,145.0,8,2023,,,Y,,,,,,,,, , ,165,Y,,,,,,N, ,N, 
65451,Grizzly Ridge Solar LLC,66410,Grizzly Ridge Solar,TX,Hamilton,375,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,100.0,100.0,100.0,10,2023,,Y,,,Y,,,,,,,180, ,131,Y,,,,,,N, ,N, 
65502,"Five Wells Solar Center, LLC",66420,Five Wells Solar Center - Hybrid,TX,Bell,FWSOL,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,355.4,320.0,320.0,12,2023,,Y,,,,,,,,,,180, ,431,,,,Y,,,N, ,N, 
65517,"Paris Farm Solar, LLC",66471,Eiffel Solar Project,TX,Lamar,EIFEL,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,240.0,240.0,240.0,11,2023,,Y,,,Y,,,,,,,0, ,314,Y,,,,,,N, ,N, 
65865,"Umbriel Solar, LLC",66954,Umbriel Solar,TX,Polk,23001,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,150.0,150.0,150.0,10,2023,,Y,,,,,,,,,N,0, ,163.3,,Y,,,,,N, ,N, 
65914,"Elawan Dileo Solar, LLC",67023,Dileo Solar,TX,Hill,DILEO,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,71.4,71.4,71.4,12,2023,,Y,,,,,,,,,,0,60,82.8,Y,,,,,,N, ,N, 
65915,"Elawan Pitts Dudik Solar, LLC",67024,Pitts Dudik Solar,TX,Hill,PTSDK,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,49.6,49.6,49.6,11,2023,,Y,,,,,,,,,N,0,60,56.7,Y,,,,,,N, ,N, 
65980,"BESSP1, LLC.",67077,"BESSP1, LLC.",TX,Lubbock,S-1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,4.4,4.4,4.4,11,2023,,Y,,,,,,,,,,180,0,5.8,Y,,,,,,N, ,N, 
59380,"Enel Green Power NA, Inc.",67284,Ganado Solar,TX,Borden,GS1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,150.5,150.5,150.5,10,2023,,Y,,,Y,,,,,,, , ,208.5,Y,,,,,,N, ,N, 
60520,SoCore Energy LLC,67791,ABIA Parking Structure,TX,Travis,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.8,1.8,1.8,4,2021,,,,,,Y,,,,,, ,7,2.3,Y,,,,,,N, ,N, 
